university_id,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
231,739,,501,6.5,501,2.5,601,21.6,333,41.7,601.0,2.5,470.0,25.2,,,,,,
232,422,27.3,195,42.2,501,7.3,601,5.5,471,27.4,405.0,21.4,353.0,39.3,,,,,,
233,1251,,501,4.8,501,4.3,601,8.8,601,2.6,601.0,2.1,601.0,1.7,,,,,,
234,505,,470,18.1,368,26.8,221,64.9,601,1.8,601.0,1.2,601.0,4.9,,,,,,
235,326,32.9,501,10.7,501,6.8,601,18.7,134,70.8,18.0,100.0,71.0,97.1,,,,,,
236,1072,,501,6.8,501,6.1,601,5.9,601,12.4,601.0,1.3,601.0,5.0,,,,,,
237,293,35.1,185,44.1,166,51.8,403,39.1,601,1.8,212.0,74.7,601.0,3.5,,,,,,
238,302,34.7,325,26.0,501,13.5,95,88.3,601,15.2,430.0,17.5,476.0,24.9,,,,,,
239,17,89.0,21,98.6,23,97.6,82,90.6,33,96.0,452.0,15.3,461.0,26.3,,,,,,
240,1049,,501,4.8,501,2.4,601,6.1,601,13.8,601.0,1.7,601.0,3.6,,,,,,
241,219,41.7,326,25.9,408,23.1,3,100.0,418,31.7,469.0,14.1,384.0,35.9,,,,,,
242,1195,,501,6.6,501,4.1,601,6.8,449,29.3,,,601.0,2.0,,,,,,
243,1116,,501,6.6,501,11.3,601,20.3,601,1.5,601.0,1.9,601.0,2.5,,,,,,
244,134,54.0,204,41.2,283,33.2,402,39.2,89,82.6,140.0,94.6,72.0,97.1,,,,,,
245,387,28.9,316,26.8,283,33.2,259,59.0,601,11.7,601.0,2.5,601.0,10.1,,,,,,
246,270,36.9,203,41.3,408,23.1,245,61.4,530,22.4,531.0,9.0,601.0,14.3,,,,,,
247,854,,501,5.4,501,4.1,412,37.9,601,8.2,601.0,1.3,601.0,4.0,,,,,,
248,931,,501,5.4,501,6.1,519,29.6,601,9.0,601.0,1.3,601.0,5.2,,,,,,
249,42,78.9,31,95.9,14,98.6,54,96.6,464,27.7,461.0,14.6,77.0,95.6,,,,,,
