name,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
"University of California, Santa Barbara (UCSB)",163,50,142,54.8,470,19,701+,9.5,41,96.9,274,70.4,522,21.6,352,43.5,701+,10.4,=271,55.8
Hanyang University,164,49.7,167,49,70,81.3,117,83.5,510,23.3,632,16.9,269,54.3,587,15.6,336,24.8,=163,77.7
Kyushu University,165,49.7,132,57.4,104,70,103,85.7,503,23.9,671,14.7,467,25.6,436,32.8,547,15.4,=163,77.7
Universitat de Barcelona,166,49.7,83,73.2,412,23,701+,13.1,325,41.8,574,21.8,437,28.5,23,97.8,180,39.8,23,98.1
Emory University,167,49.6,342,25.6,522,16.4,51,97.3,98,84,343,53.5,398,32.4,268,56.8,358,23.6,115,85.7
University of York,168,49.4,194,43.5,275,35.3,351,45,342,40.3,192,88.3,171,78.2,150,79.2,421,19.8,=26,97.8
University of Florida,169,49.1,171,48,137,58.7,180,71.3,467,26.6,604,18.8,699,10.8,24,97.7,184,39,48,95.7
"University of Maryland, College Park",170,48.9,165,49.2,369,26.1,451,35.1,154,68.4,477,31.6,639,14,113,85.5,176,41.6,=137,81.7
University of Reading,171,48.9,263,33.2,241,39.3,701+,16.1,161,67.4,189,88.4,158,81,158,77.8,237,32.3,=189,72.5
Complutense University of Madrid,172,48.8,96,68.2,105,69.3,573,25.8,701+,7,701+,9,469,25.6,127,83.4,106,57.9,41,96.3
University College Dublin,173,48.8,162,49.8,226,41.3,652,20.7,354,38.9,101,98.8,245,60.8,309,50.5,75,69,=204,70.1
Qatar University,174,48.7,320,27.1,206,43.9,213,64.8,356,38.8,20,100,74,96.8,244,59.8,24,95.8,=397,35.5
"The University of Newcastle, Australia (UON)",175,48.7,296,29.3,361,26.9,436,36.5,71,91.4,=73,100,584,17.3,319,49.2,696,12.5,=70,93.2
University of Cape Town,176,48.7,190,44.4,164,51,701+,12.6,295,45.7,317,59.9,527,21.2,49,95.4,38,88.9,=175,75.1
Erasmus University Rotterdam,177,48.5,232,37.3,165,50.9,624,22.5,240,53.4,221,83,247,60.1,190,71.6,91,63.7,=312,49.4
Nagoya University,178,48.5,114,61.5,123,65.1,96,87.5,412,33,661,15.4,558,19.1,565,17.6,509,16.6,=502,24.1
University of Liverpool,179,48.5,191,44.4,277,35,401,39.7,371,37.9,194,87.8,168,79,29,97.2,324,25.6,193,72
Arizona State University,180,48.1,174,46.7,265,36.7,701+,6.8,199,61.5,299,64.5,422,30.1,97,87.9,307,26.6,=33,97.3
King Fahd University of Petroleum & Minerals,181,48,267,32.9,268,36.5,124,82.8,165,65.8,24,100,402,31.8,492,25.7,185,38.9,=536,20.9
Université catholique de Louvain (UCLouvain),182,48,166,49.1,317,30.8,701+,4.4,203,60.2,186,89.4,347,39.3,130,83.2,125,51.7,=279,54.6
University of Calgary,183,47.9,229,37.7,129,61.2,668,19.9,330,41.5,222,82.8,241,62,232,62.3,188,38.6,82,91.5
Curtin University,184,47.8,271,32.4,309,31.8,701+,14.3,88,86.2,43,100,459,26.4,119,84.9,320,25.7,=305,50.6
Technische Universität Wien,185,47.6,266,32.9,201,44.4,701+,13.1,91,85.7,232,79.3,123,89,347,45.1,649,13.2,=552,19
Tecnológico de Monterrey,186,47.6,157,51.3,28,96.8,222,63.5,701+,2.3,469,32.7,681,11.7,618,13.5,41,88.3,=223,65.7
École Normale Supérieure de Lyon,187,47.6,285,30.5,570,14.4,59,95.7,27,98.4,272,70.8,628,14.6,425,34.3,701+,10,701+,5.9
University of Gothenburg,188,47.3,239,36.2,511,16.9,261,56.3,349,39.4,179,90.6,160,80.8,104,86.4,151,46.3,=30,97.6
Universiti Teknologi Malaysia,189,46.9,175,46.6,124,63.8,371,42.5,403,33.9,651,16,141,85.2,257,58.6,631,13.6,=217,66.8
McMaster University,190,46.8,210,40.5,255,38.2,166,75.1,444,29,93,99.3,250,59.5,376,40.2,197,37.2,=204,70.1
